fps,low1pct,cpu_ms,gpu_ms,Gameplay Update,Physics,Render Collect,Shadow Pass,Scene Pass (FBX),Sprite Pass,Effect Update,Effect Draw,Debug/ImGui,gpu_shadow,gpu_scene,gpu_effect,gpu_sprite,effect_calls,effect_verts,effect_instances
60.0,57.2,16.67,3.79,0.16,0.30,0.01,0.77,1.79,0.16,2.15,1.71,0.33,0.743,2.889,0.024,0.002,36,18316,5176
60.0,57.2,16.67,3.72,0.18,0.26,0.02,0.79,1.85,0.16,1.88,1.39,0.32,0.645,2.712,0.006,0.001,30,11292,3639
60.0,57.2,16.67,3.59,0.09,0.32,0.02,0.78,1.85,0.21,2.19,1.92,0.34,0.632,2.756,0.019,0.007,46,14112,4534
60.0,57.2,16.67,3.61,0.10,0.36,0.01,0.92,1.90,0.22,2.30,1.74,0.34,0.649,2.784,0.050,0.004,35,24072,7511
60.0,57.2,16.67,5.63,0.14,0.24,0.01,0.60,1.30,0.15,2.27,2.01,0.28,2.887,2.191,0.202,0.006,39,58252,9656
60.0,57.2,16.67,5.11,0.08,0.29,0.01,0.65,1.39,0.14,2.12,1.88,0.28,0.682,2.781,0.039,0.002,34,20632,4559
60.0,57.2,16.67,3.89,0.15,0.32,0.02,0.94,2.01,0.18,1.99,1.34,0.36,0.774,2.907,0.065,0.004,33,14204,3241
60.0,57.2,16.67,3.87,0.12,0.31,0.01,0.81,1.85,0.16,1.95,1.62,0.34,0.794,2.984,0.092,0.003,53,27956,8406
60.0,57.3,16.66,3.67,0.07,0.23,0.01,0.56,1.26,0.12,2.33,2.19,0.26,0.811,2.998,0.073,0.005,60,47112,13810
60.0,57.3,16.67,3.31,0.06,0.18,0.01,0.47,1.08,0.10,2.35,2.51,0.26,0.849,2.990,0.050,0.004,52,42048,12166
60.0,57.6,16.67,3.88,0.11,0.22,0.01,0.60,1.24,0.13,2.33,2.20,0.26,0.740,2.963,0.066,0.005,59,54052,11728
60.0,57.6,16.67,3.71,0.12,0.24,0.01,0.57,1.26,0.12,2.12,2.18,0.25,0.813,2.934,0.099,0.004,47,57712,8091
60.0,57.6,16.67,5.24,0.08,0.25,0.01,0.75,1.67,0.14,1.72,1.67,0.27,1.462,2.569,0.161,0.008,33,8680,1110
60.0,57.5,16.66,5.03,0.25,0.39,0.02,1.25,2.33,0.18,1.41,0.90,0.41,2.119,1.797,0.054,0.005,25,5804,835
60.0,57.2,16.67,3.95,0.23,0.26,0.02,1.03,2.09,0.21,1.97,1.35,0.39,0.658,2.783,0.080,0.004,41,14644,4437
60.0,57.2,16.67,3.74,0.09,0.32,0.02,0.82,1.87,0.25,2.20,1.99,0.32,0.674,2.815,0.065,0.004,51,24276,7239
60.0,57.2,16.67,3.78,0.09,0.27,0.01,0.77,1.61,0.21,2.23,2.05,0.29,0.702,2.868,0.053,0.008,47,22352,6707
60.0,57.2,16.67,3.82,0.09,0.28,0.02,0.75,1.59,0.20,2.42,2.02,0.29,0.749,2.826,0.085,0.004,43,42948,9823
60.0,57.2,16.67,4.18,0.16,0.21,0.01,0.58,1.27,0.14,2.40,2.21,0.25,2.184,1.883,0.105,0.004,50,72500,14592
60.0,57.2,16.67,3.82,0.07,0.19,0.01,0.53,1.18,0.13,2.51,2.41,0.26,0.736,2.887,0.051,0.004,52,42612,11241
60.0,57.2,16.66,4.82,0.07,0.24,0.01,0.56,1.24,0.14,2.27,1.97,0.25,2.975,2.382,0.121,0.010,34,29384,7647
60.0,57.1,16.67,5.47,0.13,0.27,0.01,0.75,1.55,0.17,2.06,1.81,0.28,0.675,2.895,0.044,0.005,41,22564,6634
60.0,57.1,16.67,3.73,0.09,0.31,0.01,0.88,1.94,0.16,2.07,1.65,0.33,0.702,2.884,0.003,0.003,25,16360,5879
60.0,57.1,16.67,3.64,0.14,0.27,0.02,0.79,1.76,0.15,1.93,1.62,0.32,0.652,2.751,0.014,0.005,30,10848,3690
58.4,10.0,17.12,3.56,0.08,0.27,0.01,0.76,1.59,0.12,1.46,1.40,0.31,0.763,3.068,0.037,0.004,40,32512,7076
58.4,10.0,17.11,4.15,0.18,0.29,0.01,0.70,1.48,0.15,2.14,1.98,0.27,3.086,2.743,0.228,0.004,38,52244,9494
58.4,10.0,17.11,5.50,0.09,0.30,0.01,0.78,1.76,0.16,2.17,1.90,0.30,0.759,3.014,0.058,0.004,31,14460,3504
58.5,10.0,17.11,4.04,0.18,0.39,0.02,1.04,2.21,0.16,1.86,1.21,0.40,0.774,2.994,0.076,0.007,28,12724,3156
58.4,10.0,17.12,4.06,0.17,0.34,0.01,0.90,1.92,0.14,2.14,1.71,0.32,0.777,2.996,0.104,0.006,59,28288,8185
58.4,10.0,17.11,3.86,0.08,0.25,0.01,0.63,1.30,0.11,2.40,2.23,0.25,0.799,1.747,0.087,0.003,67,48920,14117
58.4,10.0,17.11,3.96,0.06,0.20,0.01,0.54,1.23,0.10,2.44,2.53,0.26,0.951,1.934,0.079,0.005,54,45588,13153
58.5,10.0,17.11,4.08,0.17,0.19,0.01,0.61,1.36,0.15,2.44,2.33,0.25,0.841,3.123,0.053,0.005,54,50928,12474
60.0,57.4,16.67,4.07,0.08,0.24,0.01,0.63,1.36,0.14,2.16,2.13,0.26,0.815,3.080,0.084,0.004,30,51280,7742
60.0,57.4,16.67,4.73,0.09,0.34,0.02,0.89,1.89,0.18,1.84,1.47,0.33,3.139,2.676,0.126,0.005,17,5180,542
60.0,56.9,16.67,5.33,0.14,0.53,0.02,1.50,2.80,0.29,1.16,0.66,0.53,0.807,3.083,0.036,0.005,11,2592,749
60.0,56.9,16.67,4.12,0.26,0.35,0.02,1.04,2.09,0.21,1.83,1.23,0.38,0.803,3.104,0.003,0.001,31,12044,4698
60.0,56.9,16.67,4.08,0.09,0.33,0.02,0.86,1.93,0.19,2.30,1.75,0.31,0.849,3.236,0.036,0.012,48,24328,7774
60.0,56.9,16.67,4.28,0.09,0.30,0.02,0.87,1.94,0.18,2.15,1.79,0.31,0.830,3.213,0.052,0.005,33,19260,6347
60.0,56.9,16.67,4.31,0.10,0.28,0.01,0.75,1.63,0.18,2.31,1.96,0.28,0.825,3.227,0.083,0.003,48,58836,10661
60.0,56.9,16.67,4.30,0.09,0.26,0.01,0.58,1.29,0.14,2.42,2.27,0.26,0.873,3.235,0.098,0.002,54,63924,14325
60.0,56.9,16.66,3.89,0.10,0.20,0.01,0.56,1.25,0.15,2.35,2.22,0.26,0.827,1.815,0.037,0.005,41,39012,10295
60.0,56.9,16.67,5.27,0.08,0.27,0.01,0.65,1.42,0.14,2.15,1.94,0.26,3.169,2.967,0.155,0.015,34,27148,7211
60.0,58.0,16.67,4.92,0.14,0.24,0.02,0.73,1.63,0.17,2.17,1.90,0.26,2.313,2.053,0.022,0.003,42,21456,6097
60.0,58.0,16.67,4.58,0.11,0.31,0.02,0.89,2.06,0.16,2.00,1.72,0.33,2.222,2.119,0.024,0.003,37,16320,5364
60.0,58.1,16.66,4.37,0.26,0.33,0.02,0.98,2.09,0.17,1.91,1.45,0.34,0.846,3.166,0.013,0.004,31,14668,4397
60.0,58.1,16.67,4.27,0.18,0.28,0.02,0.80,1.82,0.20,2.37,2.03,0.29,0.849,3.170,0.042,0.003,43,53900,9028
60.0,58.1,16.67,4.12,0.08,0.26,0.01,0.70,1.50,0.16,2.15,2.01,0.26,2.206,1.938,0.061,0.004,39,44336,8269
60.0,57.9,16.66,4.29,0.12,0.34,0.02,0.95,2.01,0.19,2.04,1.41,0.35,2.127,1.912,0.063,0.006,18,10296,2053
60.0,57.8,16.67,4.40,0.26,0.35,0.02,1.18,2.30,0.20,2.02,1.29,0.41,0.835,1.993,0.068,0.004,42,18428,4877
60.0,57.8,16.67,5.66,0.09,0.29,0.02,0.85,1.88,0.19,2.15,1.97,0.28,0.840,3.171,0.101,0.004,63,31352,9380
60.0,57.8,16.67,4.11,0.07,0.23,0.01,0.57,1.25,0.14,2.33,2.32,0.25,0.886,2.010,0.103,0.003,72,47284,13100
60.0,57.8,16.67,4.38,0.07,0.23,0.01,0.53,1.16,0.13,2.19,2.62,0.27,2.190,1.971,0.067,0.006,57,48104,13853
60.0,57.8,16.67,4.00,0.15,0.17,0.01,0.48,1.08,0.12,2.33,2.50,0.27,0.787,3.025,0.076,0.014,41,69832,12184
60.0,57.8,16.66,4.00,0.08,0.24,0.01,0.57,1.25,0.14,1.88,1.84,0.29,0.826,2.995,0.055,0.005,24,25832,4210
60.0,57.8,16.67,4.27,0.09,0.33,0.02,0.94,1.96,0.18,1.41,0.73,0.35,2.193,1.969,0.056,0.008,13,3616,182
60.0,57.8,16.66,4.42,0.18,0.40,0.02,1.10,2.20,0.21,1.42,0.72,0.38,2.219,1.960,0.040,0.002,21,8692,3484
60.0,58.0,16.67,4.76,0.20,0.27,0.01,0.89,1.98,0.16,1.68,1.29,0.33,3.343,2.822,0.000,0.006,29,12600,5484
60.0,58.0,16.67,5.34,0.08,0.27,0.01,0.68,1.65,0.13,1.84,1.57,0.30,0.823,3.128,0.034,0.003,40,16796,5886
60.0,58.0,16.67,4.24,0.12,0.25,0.01,0.65,1.50,0.13,1.88,1.45,0.34,0.896,1.958,0.049,0.009,52,37820,9932
60.0,58.0,16.67,4.01,0.08,0.24,0.01,0.54,1.18,0.12,2.09,1.93,0.37,0.870,1.823,0.082,0.005,45,61652,11016
60.0,58.0,16.67,4.40,0.07,0.24,0.01,0.56,1.21,0.11,2.22,2.15,0.34,2.319,2.080,0.079,0.005,51,39400,10438
60.0,58.0,16.67,4.20,0.13,0.23,0.01,0.64,1.39,0.15,2.25,2.04,0.30,0.837,3.201,0.080,0.007,53,40592,11144
60.0,58.3,16.67,4.32,0.11,0.23,0.01,0.56,1.27,0.14,2.00,2.07,0.29,0.828,3.227,0.114,0.003,61,35844,8864
60.0,58.3,16.67,4.21,0.07,0.25,0.01,0.57,1.31,0.12,1.64,1.72,0.32,0.831,3.144,0.079,0.004,53,24764,6319
60.0,58.3,16.67,5.45,0.08,0.28,0.01,0.68,1.62,0.13,1.65,1.45,0.28,3.006,2.811,0.153,0.014,32,14672,3814
60.0,58.3,16.67,4.55,0.13,0.24,0.01,0.67,1.52,0.16,1.89,1.57,0.29,0.730,3.013,0.075,0.002,49,40996,7977
60.0,58.5,16.67,4.19,0.08,0.26,0.01,0.65,1.47,0.15,2.13,2.04,0.26,0.844,3.202,0.123,0.004,44,54328,8764
60.0,58.3,16.67,4.19,0.08,0.29,0.01,0.66,1.56,0.13,1.81,1.61,0.30,0.828,3.172,0.094,0.007,30,14336,2992
60.0,58.3,16.66,4.23,0.09,0.32,0.02,0.97,1.94,0.17,1.59,0.97,0.32,0.837,3.124,0.068,0.003,24,11756,3584
60.0,58.3,16.66,4.20,0.21,0.26,0.01,0.81,1.87,0.15,1.94,1.56,0.36,2.054,1.879,0.077,0.004,49,22004,6301
60.0,58.3,16.66,4.12,0.08,0.29,0.01,0.56,1.34,0.11,1.96,1.89,0.29,0.885,3.108,0.105,0.010,73,42820,12968
60.0,58.3,16.67,3.85,0.06,0.21,0.01,0.50,1.13,0.11,2.14,2.33,0.29,0.871,1.824,0.097,0.012,62,43756,12267
60.0,58.3,16.66,5.57,0.10,0.23,0.01,0.55,1.19,0.11,2.43,2.73,0.28,1.723,2.380,0.133,0.006,50,72040,15007
60.0,58.3,16.67,4.04,0.10,0.21,0.01,0.52,1.17,0.11,2.07,2.34,0.29,0.776,3.042,0.092,0.015,39,53216,10053
60.0,58.3,16.67,4.02,0.08,0.29,0.01,0.82,1.78,0.16,1.58,1.08,0.35,0.773,2.934,0.061,0.008,12,5412,234
60.0,57.9,16.67,4.00,0.20,0.37,0.02,1.13,2.15,0.20,1.32,0.69,0.39,0.803,2.932,0.063,0.013,24,6820,1502
60.0,57.9,16.66,4.05,0.09,0.31,0.01,0.89,1.99,0.18,1.72,1.30,0.38,0.856,2.966,0.036,0.002,31,11896,4395
60.0,57.9,16.67,4.07,0.13,0.28,0.01,0.67,1.63,0.15,1.86,1.56,0.33,0.694,2.818,0.003,0.003,34,18136,7048
60.0,57.9,16.67,3.84,0.09,0.29,0.01,0.79,1.95,0.22,1.99,1.64,0.32,0.761,2.998,0.040,0.005,34,17244,5830
60.0,57.9,16.67,3.84,0.08,0.28,0.01,0.60,1.40,0.15,2.07,1.97,0.30,0.766,4.649,0.162,0.004,39,61180,10954
60.0,57.9,16.67,5.58,0.07,0.25,0.01,0.51,1.18,0.12,1.87,1.72,0.27,0.784,3.022,0.052,0.004,41,37588,8866
60.0,57.9,16.67,3.94,0.11,0.25,0.01,0.55,1.30,0.12,1.95,1.69,0.33,0.820,3.049,0.055,0.006,34,32224,8267
60.0,57.9,16.67,3.63,0.11,0.24,0.01,0.56,1.24,0.13,2.22,2.20,0.27,0.750,1.674,0.088,0.003,62,50056,13892
60.0,58.0,16.67,3.72,0.07,0.24,0.01,0.51,1.14,0.12,1.99,2.28,0.26,0.749,2.991,0.112,0.003,55,33440,8771
60.0,58.0,16.66,4.01,0.07,0.25,0.01,0.62,1.42,0.12,1.70,1.78,0.32,0.824,3.144,0.089,0.013,42,16044,4186
60.0,58.0,16.67,4.22,0.19,0.31,0.01,0.77,1.82,0.14,1.73,1.49,0.32,2.062,1.944,0.079,0.007,48,29300,7065
60.0,58.4,16.67,4.05,0.12,0.22,0.01,0.58,1.23,0.13,1.77,1.75,0.34,0.795,3.131,0.093,0.009,49,56344,8660
60.0,58.4,16.66,5.01,0.07,0.24,0.01,0.62,1.46,0.12,1.72,1.67,0.26,3.219,3.025,0.210,0.011,34,14520,2779
60.0,58.4,16.66,4.55,0.15,0.30,0.01,0.89,1.95,0.14,1.54,1.03,0.35,0.826,3.028,0.082,0.006,37,11440,2141
60.0,57.9,16.67,4.17,0.09,0.30,0.01,0.84,1.87,0.15,1.91,1.47,0.33,0.859,3.057,0.065,0.007,44,21396,6641
60.0,57.9,16.67,4.08,0.12,0.24,0.01,0.63,1.46,0.16,1.86,1.70,0.30,0.790,3.054,0.084,0.017,65,30460,9406
60.0,57.9,16.67,3.78,0.07,0.26,0.01,0.51,1.17,0.14,1.99,2.17,0.28,0.802,3.075,0.118,0.004,58,43600,11730
60.0,57.9,16.67,3.48,0.11,0.18,0.01,0.52,1.13,0.14,2.39,2.87,0.27,0.837,1.710,0.140,0.014,71,82664,18378
60.0,57.9,16.67,3.83,0.06,0.22,0.01,0.47,1.07,0.12,2.11,2.80,0.27,0.814,2.982,0.124,0.017,44,62236,12096
60.0,57.9,16.67,3.60,0.11,0.22,0.01,0.53,1.23,0.12,1.83,1.71,0.29,0.718,2.847,0.047,0.008,27,12784,1829
60.0,57.9,16.67,5.36,0.17,0.34,0.04,0.93,1.88,0.19,1.34,0.92,0.36,2.864,2.233,0.202,0.012,29,9700,1203
60.0,58.4,16.66,5.66,0.08,0.29,0.01,0.73,1.72,0.16,1.36,1.21,0.29,0.769,2.948,0.094,0.004,38,13920,4096
60.0,58.4,16.66,3.74,0.07,0.24,0.01,0.68,1.64,0.14,1.65,1.55,0.31,0.796,2.947,0.081,0.002,42,18416,6381
60.0,58.4,16.67,3.92,0.13,0.26,0.01,0.68,1.65,0.13,1.66,1.54,0.32,0.713,2.849,0.074,0.006,37,18688,5679
60.0,58.4,16.67,3.86,0.13,0.24,0.01,0.64,1.45,0.13,2.06,2.13,0.27,0.728,2.823,0.154,0.003,56,63044,11145
60.0,58.4,16.66,3.84,0.07,0.23,0.01,0.59,1.34,0.13,2.03,2.28,0.25,0.765,2.839,0.120,0.002,51,40044,8153
60.0,58.4,16.67,3.73,0.08,0.27,0.02,0.62,1.45,0.12,1.89,1.66,0.35,0.821,1.757,0.073,0.004,37,27232,7405
60.0,58.4,16.67,3.88,0.17,0.22,0.01,0.62,1.38,0.13,1.97,1.95,0.29,0.741,2.968,0.061,0.004,58,44232,12824
60.0,58.4,16.67,4.10,0.06,0.22,0.01,0.52,1.15,0.12,2.20,2.48,0.25,3.148,2.680,0.187,0.042,66,40724,10551
60.0,58.4,16.67,4.74,0.06,0.21,0.02,0.50,1.13,0.10,1.81,1.93,0.27,0.783,3.028,0.093,0.012,51,25204,6362
60.0,58.4,16.67,3.80,0.13,0.27,0.01,0.67,1.63,0.13,1.51,1.46,0.28,0.768,2.979,0.067,0.003,43,20740,5021
60.0,58.4,16.67,4.04,0.13,0.29,0.01,0.65,1.59,0.14,2.06,1.88,0.30,0.810,3.023,0.066,0.004,39,55888,8251
60.0,58.4,16.67,3.87,0.08,0.26,0.01,0.60,1.41,0.13,1.86,1.89,0.29,0.845,3.129,0.057,0.003,39,26044,4907
60.0,58.4,16.67,4.21,0.10,0.31,0.01,0.97,2.07,0.16,1.75,1.25,0.35,0.840,3.094,0.098,0.007,28,11548,2141
60.0,58.4,16.67,4.17,0.11,0.31,0.01,0.82,1.85,0.15,1.68,1.22,0.31,0.864,1.909,0.086,0.003,43,18640,5174
60.0,58.4,16.67,4.18,0.16,0.29,0.01,0.70,1.76,0.14,1.94,1.68,0.31,2.218,1.896,0.080,0.001,49,24004,7752
60.0,58.4,16.67,4.99,0.07,0.24,0.01,0.58,1.31,0.13,1.93,1.72,0.28,3.300,2.698,0.186,0.042,59,31032,9627
60.0,58.1,16.67,4.47,0.11,0.19,0.01,0.53,1.15,0.13,2.11,2.37,0.27,0.835,2.985,0.119,0.005,65,62648,14947
60.0,58.1,16.67,3.80,0.06,0.22,0.01,0.51,1.16,0.12,2.46,3.26,0.27,2.180,2.042,0.187,0.008,58,79924,16096
60.0,58.1,16.67,4.27,0.07,0.23,0.01,0.61,1.40,0.12,2.09,2.14,0.31,2.247,1.969,0.065,0.007,32,25628,5504
60.0,58.1,16.67,4.18,0.21,0.31,0.02,1.00,1.95,0.17,1.43,0.94,0.32,0.808,3.041,0.078,0.005,35,10160,981
60.0,58.1,16.67,4.11,0.09,0.31,0.02,0.92,1.97,0.16,1.51,1.30,0.32,0.818,3.072,0.114,0.002,42,16680,3662
60.0,58.1,16.67,4.07,0.08,0.29,0.01,0.66,1.70,0.14,1.60,1.54,0.28,0.833,3.078,0.097,0.002,52,20508,6493
60.0,58.1,16.67,4.09,0.08,0.30,0.01,0.71,1.75,0.15,1.77,1.55,0.32,0.845,3.091,0.075,0.007,34,16056,5164
60.0,58.1,16.66,5.63,0.18,0.24,0.01,0.64,1.47,0.14,1.90,1.61,0.26,3.009,2.890,0.267,0.007,49,44464,9307
60.0,58.3,16.67,4.31,0.07,0.24,0.01,0.65,1.44,0.15,2.07,2.13,0.27,0.821,3.090,0.134,0.012,52,57940,10605
60.0,58.3,16.67,4.08,0.08,0.24,0.01,0.69,1.53,0.15,1.92,1.77,0.28,0.777,3.062,0.095,0.013,36,18964,4450
60.0,58.3,16.67,4.16,0.13,0.28,0.01,0.74,1.63,0.16,1.90,1.68,0.30,0.790,3.076,0.082,0.004,47,36068,9264
60.0,58.3,16.67,4.03,0.12,0.26,0.01,0.61,1.38,0.13,2.30,2.47,0.26,0.758,3.063,0.067,0.003,63,48316,13992
60.0,58.3,16.67,3.78,0.06,0.22,0.01,0.49,1.13,0.11,2.01,2.31,0.27,0.798,2.983,0.050,0.004,52,34468,9827
60.0,58.3,16.66,4.08,0.12,0.25,0.01,0.65,1.49,0.14,1.59,1.56,0.28,2.190,2.007,0.065,0.006,35,17236,4546
60.0,58.3,16.67,4.24,0.09,0.28,0.01,0.74,1.69,0.14,2.06,1.76,0.32,3.399,3.151,0.071,0.007,30,52484,8028
60.0,58.3,16.66,5.79,0.12,0.26,0.01,0.71,1.60,0.13,1.77,1.62,0.26,0.778,3.078,0.005,0.001,22,27160,5059
60.0,58.3,16.66,3.91,0.09,0.34,0.01,0.93,1.89,0.14,1.50,0.94,0.34,0.777,3.017,0.044,0.009,19,7352,1622
60.0,57.7,16.67,4.01,0.18,0.31,0.01,0.98,2.04,0.15,1.62,1.13,0.36,0.788,3.018,0.070,0.004,34,17192,4849
60.0,57.7,16.67,4.11,0.10,0.30,0.01,0.82,2.00,0.14,2.11,1.70,0.33,2.105,1.825,0.070,0.005,45,22492,7458
